,x_absolute,y_absolute
0,67701.0,29720.0
1,65953.0,22378.0
2,59156.0,55127.0
3,66432.0,53960.0
4,73367.0,36634.0
5,59532.0,56229.0
6,72194.0,54070.0
7,72939.0,19545.0
8,58245.0,36461.0
9,65391.0,59023.0
10,62596.0,44742.0
11,70083.0,61404.0
12,66402.0,37139.0
13,57174.0,34525.0
14,65776.0,22221.0
15,77540.0,24030.0
16,82219.0,19850.0
17,66579.0,23340.0
18,75886.0,45425.0
19,61748.0,60703.0
20,64843.0,35154.0
21,57278.0,39883.0
22,76150.0,28709.0
23,59498.0,45313.0
24,56879.0,40201.0
25,68194.0,19469.0
26,83282.0,16791.0
27,57531.0,32645.0
28,76197.0,47432.0
29,82997.0,16066.0
30,57992.0,32299.0
31,60678.0,55434.0
32,62843.0,60172.0
33,73012.0,19802.0
34,74197.0,35020.0
35,59987.0,39773.0
36,66952.0,51940.0
37,69865.0,58275.0
38,70133.0,62621.0
39,85565.0,20244.0
40,75441.0,25975.0
41,61949.0,44608.0
42,61119.0,47583.0
43,68160.0,29304.0
44,75383.0,26018.0
45,63260.0,30212.0
46,82675.0,18570.0
47,73451.0,27968.0
48,61674.0,55507.0
49,67192.0,60441.0
50,10175.0,32946.0
51,69740.0,59158.0
52,77911.0,48470.0
53,68300.0,23281.0
54,65973.0,22126.0
55,58892.0,39769.0
56,57665.0,43033.0
57,71891.0,54682.0
58,75604.0,29436.0
59,81547.0,46567.0
60,75876.0,32639.0
61,64691.0,30635.0
62,62858.0,46318.0
63,49491.0,43737.0
64,71145.0,60083.0
65,61413.0,43106.0
66,68100.0,28104.0
67,68457.0,41152.0
68,71746.0,24148.0
69,63364.0,40568.0
70,74433.0,21084.0
71,60461.0,47584.0
72,82330.0,19112.0
73,43287.0,24734.0
74,61746.0,43818.0
75,78859.0,27198.0
76,64676.0,30609.0
77,14003.0,40181.0
78,68546.0,48429.0
79,60717.0,43226.0
80,57319.0,39536.0
81,64900.0,32733.0
82,63329.0,52030.0
83,60352.0,52744.0
84,12679.0,24434.0
85,66777.0,30206.0
86,57590.0,40823.0
87,74891.0,45889.0
88,50674.0,5988.0
89,61938.0,36064.0
90,61130.0,39581.0
91,20059.0,27504.0
92,61895.0,28769.0
93,58337.0,37142.0
94,77830.0,24700.0
95,74826.0,25033.0
96,70684.0,62244.0
97,59682.0,53235.0
98,62961.0,41165.0
99,80335.0,33162.0
100,74401.0,29162.0
101,61457.0,50239.0
102,59002.0,53549.0
103,34418.0,44992.0
104,67369.0,53818.0
105,60903.0,43033.0
106,60964.0,34561.0
107,47700.0,38224.0
108,72046.0,52855.0
109,72630.0,58680.0
110,68519.0,49998.0
111,61067.0,44089.0
112,71305.0,17935.0
113,61051.0,57759.0
114,60712.0,40671.0
115,69857.0,54110.0
116,71300.0,49442.0
117,63943.0,51364.0
118,55793.0,35984.0
119,68894.0,41776.0
120,58015.0,35494.0
121,79858.0,17364.0
122,35991.0,28171.0
123,68116.0,25185.0
124,58215.0,41321.0
125,71208.0,38205.0
126,69714.0,19472.0
127,75838.0,18979.0
128,64374.0,61788.0
129,40244.0,24394.0
130,63886.0,32834.0
131,74396.0,23038.0
132,65943.0,48505.0
133,82158.0,48986.0
134,80971.0,36084.0
135,68120.0,33201.0
136,71533.0,62172.0
137,76729.0,30800.0
138,59140.0,50063.0
139,80793.0,31257.0
140,11175.0,50813.0
141,66857.0,41014.0
142,73555.0,49073.0
143,9006.0,26784.0
144,29826.0,45683.0
145,58040.0,54096.0
146,11556.0,27378.0
147,55672.0,35023.0
148,63454.0,48381.0
149,87355.0,18184.0
150,29628.0,45548.0
151,65390.0,35273.0
152,12379.0,26160.0
153,68216.0,56232.0
154,64908.0,48905.0
155,61639.0,56854.0
156,79675.0,41043.0
157,77276.0,30830.0
158,24781.0,53901.0
159,56347.0,39764.0
160,61658.0,25689.0
161,63713.0,33593.0
162,32089.0,57351.0
163,68560.0,60034.0
164,62605.0,36821.0
165,79227.0,28700.0
166,8937.0,22546.0
167,67141.0,19115.0
168,75583.0,14486.0
169,28518.0,33800.0
170,63630.0,52601.0
171,56571.0,46200.0
172,56825.0,37921.0
173,73066.0,24621.0
174,12156.0,33044.0
175,61577.0,56821.0
176,31573.0,33510.0
177,13763.0,32478.0
178,84833.0,14595.0
179,13952.0,34106.0
180,67878.0,38123.0
181,69223.0,47228.0
182,10921.0,25941.0
183,67001.0,62669.0
184,31540.0,30919.0
185,66961.0,29744.0
186,73002.0,28189.0
187,68755.0,19685.0
188,60272.0,55714.0
189,62135.0,42170.0
190,59780.0,48164.0
191,73121.0,21712.0
192,74783.0,31090.0
193,59584.0,43216.0
194,12909.0,23370.0
195,66054.0,59015.0
196,10524.0,27270.0
197,72506.0,31975.0
198,87415.0,17793.0
199,71998.0,54362.0
200,72523.0,58579.0
201,9729.0,53394.0
202,59308.0,30223.0
203,29262.0,32541.0
204,37084.0,42029.0
205,54486.0,32309.0
206,57910.0,18573.0
207,10627.0,28258.0
208,64416.0,31138.0
209,12459.0,48515.0
210,74497.0,27336.0
211,84582.0,16005.0
212,70924.0,62562.0
213,13362.0,26432.0
214,10541.0,46095.0
215,19553.0,2286.0
216,69444.0,24757.0
217,61434.0,47696.0
218,68773.0,52229.0
219,60369.0,27422.0
220,73240.0,42874.0
221,81418.0,15869.0
222,74363.0,24317.0
223,61448.0,33799.0
224,76597.0,41621.0
225,70891.0,39939.0
226,60224.0,11238.0
227,76828.0,47923.0
228,73541.0,44228.0
229,67772.0,36083.0
230,70844.0,37479.0
231,60228.0,38812.0
232,80824.0,18148.0
233,55692.0,28504.0
234,13106.0,33951.0
235,63431.0,42058.0
236,74949.0,27385.0
237,60903.0,33457.0
238,56244.0,31446.0
239,86078.0,16263.0
240,66054.0,36436.0
241,9936.0,29986.0
242,13827.0,34388.0
243,69905.0,24189.0
244,67507.0,22426.0
245,81980.0,15154.0
246,65725.0,62292.0
247,68131.0,29450.0
248,66442.0,29992.0
249,10342.0,46631.0
250,53899.0,31032.0
251,72028.0,50883.0
252,59495.0,52360.0
253,63776.0,42881.0
254,73710.0,48797.0
